,Power And Energy,Healthcare,Factory Automation,Aerospace And Mobile Robotics
Power And Energy,0,0,0,0
Healthcare,128,0,0,0
Factory Automation,222,138,0,0
Aerospace And Mobile Robotics,27,15,32,0
