,Powertrain And Vehicle Dynamics ,Vehicle Networking,Body And Comfort,Automotive Connectivity,A D A S And Highly Automated Driving
Powertrain And Vehicle Dynamics ,0,9,0,0,0
Vehicle Networking,0,0,0,0,0
Body And Comfort,74,10,0,0,0
Automotive Connectivity,6,2,7,0,0
A D A S And Highly Automated Driving,46,6,25,7,0
