,Automotive_All,CommunicationInfrastructure_All,Industrial_All,Mobile_All,SmartCity_All,SmartHome_All
Automotive_All,0,66,253,178,190,0
CommunicationInfrastructure_All,0,0,77,29,51,0
Industrial_All,0,0,0,183,200,0
Mobile_All,0,0,0,0,163,0
SmartCity_All,0,0,0,0,0,0
SmartHome_All,0,0,0,0,0,0
