,links
0,https://www.nxp.com/docs/en/data-sheet/BSC9132.pdf?pspll=1
1,https://www.nxp.com/docs/en/data-sheet/MPC8569EEC.pdf?pspll=1
2,https://www.nxp.com/docs/en/data-sheet/IMX51AEC.pdf?pspll=1
3,https://www.nxp.com/docs/en/data-sheet/IMX51CEC.pdf?pspll=1
4,https://www.nxp.com/docs/en/data-sheet/IMX51CEC.pdf?pspll=1
5,https://www.nxp.com/docs/en/data-sheet/IMX51AEC.pdf?pspll=1
