category_1,Vehicle Networking,AutomatedDriving,Connectivity,Body And Comfort,Vehicle Dynamics 
Vehicle Networking,0,0,0,0,0
AutomatedDriving,6,0,7,25,46
Connectivity,2,0,0,7,6
Body And Comfort,10,0,0,0,74
Vehicle Dynamics ,9,0,0,0,0
